adlib_id,female_13-17,female_18-24,female_25-34,female_35-44,female_45-54,female_55-64,female_65+,male_13-17,male_18-24,male_25-34,male_35-44,male_45-54,male_55-64,male_65+,unknown_13-17,unknown_18-24,unknown_25-34,unknown_35-44,unknown_45-54,unknown_55-64,unknown_65+,unknown_Unknown
717099619250579,0,,0.947,0.053,,,,,,,,,,,,,,,,,,
281515213864203,,,0.904,0.096,,,,,,,,,,,,,,,,,,
416020820028805,,,0.079,0.016,,,,,,0.806,0.095,,,,,,0.003,0.001,,,,
645132053324017,,,,,,,,0.001,,0.91,0.089,,,,,,,,,,,
185103837140862,,,,0.027,0.083,0.091,,,,,0.209,0.335,0.25,,,,,0.002,0.003,,,
253838513375370,0,,0.956,0.044,,,,,,,,,,,,,,,,,,
1065004440708306,,,0.277,0.017,,,,,,0.663,0.041,,,,,,0.003,0,,,,
1082332092591708,,,,0.17,0.148,0.06,,,,,0.363,0.209,0.047,,,,,0.003,0.001,0,,
872454946993385,,,,,,,,,,0.946,0.054,,,,,,,,,,,
384342446751928,,,,,,,,,,0.898,0.102,,,,,,,,,,,
461717618605774,,,,,,,,,,0.911,0.089,,,,,,,,,,,
207620261498144,,,,0.112,0.152,0.108,,,,,0.286,0.243,0.091,,,,,0.004,0.003,0.001,,
1017526095734231,,,0.025,0.002,,,,,,0.879,0.089,,,,,,0.005,0.001,,,,
1004748800382629,,,,0.02,0.067,0.076,,,,,0.36,0.33,0.142,,,,,0.002,0.002,0.001,,
1313336735766106,,,0.9,0.1,,,,,,,,,,,,,,,,,,
309355207358500,,,,,,,,0,,0.949,0.051,,,,,,,,,,,
268805681824277,,,0.86,0.14,,,,,,,,,,,,,,,,,,
283055607047209,,,0.204,0.038,,,,,,0.657,0.094,,,,,,0.005,0.002,,,,
1175760622953913,,,0.298,0.02,,,,,,0.636,0.042,,,,,,0.003,0,,,,
562901028314203,0,,0.979,0.021,,,,,,,,,,,,,,,,,,
1576322466048317,,,,0.267,0.186,0.05,,,,,0.319,0.144,0.031,,,,,0.003,0.001,0,,
310637637200868,,,,,,,,,,0.977,0.023,,,,,,,,,,,
411421107115519,,,0.402,0.013,,,,,,0.564,0.017,,,,0,,0.004,0,,,,
423829519414147,,,0.951,0.049,,,,,,,,,,,,,,,,,,
2737795953189746,,,,0.227,0.157,0.048,,,,,0.364,0.168,0.033,,,,,0.003,0.001,0,,
257621302981548,,,,0.207,0.166,0.06,,,,,0.338,0.187,0.039,,,,,0.002,0.001,,,
447924620088551,,,,,,,,,,0.936,0.064,,,,,,,,,,,
573578560390518,,,0.936,0.064,,,,,,,,,,,,,,,,,,
913716232870629,,,0.87,0.13,,,,,,,,,,,,,,,,,,
463109815083295,,,0.096,0.015,,,,,,0.776,0.11,,,,,,0.003,0.001,,,,
467721064583802,,,,,,,,,,0.898,0.102,,,,,,,,,,,
675719356660268,,,,0.053,0.104,0.092,,,,,0.305,0.305,0.138,,,,,0.001,0.002,0.001,,
420452506121097,,,0.257,0.021,,,,,,0.668,0.051,,,,,,0.003,0,,,,
476703713507245,,,,,,,,,,0.939,0.061,,,,,,,,,,,
423137559410253,,,0.067,0.012,,,,,,0.836,0.078,,,,,,0.006,0.001,,,,
592438095380678,0.001,,0.901,0.098,,,,,,,,,,,,,,,,,,
617204465965393,,,,0.032,0.08,0.106,,,,,0.229,0.331,0.216,,,,,0.002,0.002,0.001,,
666824527633857,,,0.963,0.037,,,,,,,,,,,,,,,,,,
614339019704907,,,0.315,0.024,,,,,,0.614,0.044,,,,,,0.003,,,,,
571140517329854,,,,,,,,,,0.948,0.052,,,,,,,,,,,
244193807734297,,,,0.21,0.186,0.074,,,,,0.296,0.183,0.047,,,,,0.002,0.001,,,
629270475148982,,,0.013,0.002,,,,,,0.885,0.096,,,,,,0.004,0.001,,,,
1082432459162360,,,,0.018,0.026,0.023,,,,,0.514,0.316,0.095,,,,,0.006,0.002,0,,
306893557603334,,,,,,,,,,0.921,0.079,,,,,,,,,,,
1017860845423922,,,0.892,0.108,,,,,,,,,,,,,,,,,,
905280906822978,,,0.299,0.016,,,,,,0.648,0.034,,,,,,0.003,0,,,,
2050655118445606,,,,0.176,0.145,0.058,,,,,0.365,0.2,0.053,,,,,0.002,0.001,0,,
405450487879747,,,0.971,0.029,,,,,,,,,,,,,,,,,,
459142885527129,,,,,,,,0,,0.956,0.043,,,,,,,,,,,
305075367787021,,0.029,0.052,0.078,0.04,,,,0.187,0.279,0.24,0.085,,,,0.001,0.003,0.004,0.001,,,
584059482714636,,,,0.187,0.148,0.053,,,,,0.374,0.189,0.043,,,,,0.003,0.001,0,,
608410026999573,,,,,,,,,,0.934,0.066,,,,,,,,,,,
895600251161477,,,0.949,0.051,,,,,,,,,,,,,,,,,,
3693599117530878,,,0.249,0.02,,,,,,0.683,0.045,,,,,,0.003,0,,,,
446658490218337,,,0.904,0.096,,,,,,,,,,,,,,,,,,
300195224999363,,,0.088,0.016,,,,,,0.776,0.114,,,,,,0.005,0.001,,,,
147195610902773,,,,,,,,,,0.872,0.128,,,,,,,,,,,
483452153137679,,,,0.037,0.089,0.096,,,,,0.255,0.335,0.184,,,,,0.002,0.002,0.001,,
2993121930955487,,,0.061,0.009,,,,,,0.834,0.091,,,,,,0.004,0.001,,,,
202714535307761,,,0.887,0.113,,,,,,,,,,,,,,,,,,
263669789104309,,,,0.046,0.086,0.056,,,,,0.415,0.29,0.1,,,,,0.004,0.002,0.001,,
312105360261297,,,,,,,,,,0.911,0.089,,,,,,,,,,,
4457639654318004,,,,,,,,,,0.954,0.046,,,,,,,,,,,
427502782224631,,,0.963,0.037,,,,,,,,,,,,,,,,,,
912256742716808,,,0.335,0.023,,,,,,0.598,0.042,,,,,,0.003,0,,,,
421411572709190,,,,0.207,0.187,0.082,,,,,0.299,0.174,0.048,,,,,0.001,0.001,0,,
313545760579970,,,,,,,,,,0.946,0.054,,,,,,,,,,,
227997662653144,,,,0.209,0.157,0.055,,,,,0.368,0.169,0.039,,,,,0.002,0.001,,,
1008710873307884,,,0.944,0.056,,,,,,,,,,,,,,,,,,
888444635367823,,,,0.019,0.044,0.058,,,,,0.351,0.35,0.172,,,,,0.003,0.002,0.001,,
1166585667202717,,,0.902,0.098,,,,,,,,,,,,,,,,,,
187117570144652,,,0.034,0.005,,,,,,0.863,0.094,,,,,,0.003,0.001,,,,
912254823041446,,,,,,,,,,0.908,0.092,,,,,,,,,,,
1319233888535007,,,0.266,0.022,,,,,,0.661,0.047,,,,,,0.003,0,,,,
2329395353857954,,,,0.203,0.164,0.058,,,,,0.342,0.186,0.043,,,,,0.003,0.001,0,,
274225637843223,,,,,,,,,,0.947,0.053,,,,,,,,,,,
302902407999429,,,0.039,0.006,,,,,,0.847,0.103,,,,,,0.004,0.001,,,,
631247277883377,,,0.961,0.039,,,,,,,,,,,,,,,,,,
850070659002704,,,0.877,0.123,,,,,,,,,,,,,,,,,,
4364991116953368,,,,,,,,,,0.918,0.082,,,,,,,,,,,
1313187409112844,,,,0.034,0.064,0.054,,,,,0.39,0.331,0.12,,,,,0.005,0.003,0,,
6276368422435120,,,0.317,0.02,,,,,,0.62,0.041,,,,,,0.003,0,,,,
1057856951640164,,,0.083,0.011,,,,,,0.824,0.079,,,,,,0.002,0,,,,
3998494290252962,,,,,,,,0,,0.92,0.079,,,,,,,,,,,
429559351925548,,,0.911,0.089,,,,,,,,,,,,,,,,,,
210778794489210,,,,0.035,0.076,0.081,,,,,0.283,0.345,0.175,,,,,0.002,0.002,0.001,,
1104273050110298,,,0.316,0.026,,,,,,0.602,0.053,,,,,,0.003,0,,,,
383125166842871,,,,,,,,,,0.933,0.067,,,,,,,,,,,
479826289748256,,,0.937,0.063,,,,,,,,,,,,,,,,,,
848868379109128,,,,0.19,0.157,0.058,,,,,0.351,0.196,0.046,,,,,0.002,0.001,0,,
1935490959964089,0.001,,0.902,0.097,,,,,,,,,,,,,,,,,,
